分野,問題文,正解,解説,出典
業法,宅建業者Aは、死亡したCの相続人Dから、Cの死亡を知った日から35日目に廃業の届出をした。適法である。,×,死亡の届出は知った日から30日以内です（業法11条）。35日目は期間超過で違法となります。,業法
業法,法人の合併消滅の届出は、消滅会社の代表役員「であった者」が、合併「により消滅した日」から30日以内に行う。,○,正しい。起算点は「その日」から。死亡以外の届出事由は「その日」起算です。届出義務者が「であった者」である点にも注意。,業法
業法,免許の有効期間満了の90日前から30日前までに更新申請を行わなければ、当該免許は失効する。,×,更新申請期間内に申請しなかった場合でも、処分があるまで従前の免許は有効です。申請期間と失効は直結しません。,業法
業法,2以上の都道府県に事務所を設置して宅建業を営もうとする者は、国土交通大臣の免許を受けなければならない。,○,正しい。事務所の所在地による区分で、本店所在地ではなく事務所の設置場所が基準です（業法3条1項）。,業法
業法,事務所には、従業者5人に1人以上の割合で成年の専任の宅建士を置かなければならない。,○,正しい（業法31条の3第1項）。案内所等の場合は最低1人の設置で足ります。,業法
業法,宅建士は、37条書面を交付する際に当該書面の記載事項を説明しなければならない。,×,37条書面には説明義務はありません。宅建士の記名のみが必要です。説明義務があるのは35条書面（重要事項説明）です。,業法
業法,35条書面の記載事項として、飲用水・電気・ガスの供給施設の整備状況は挙げられている。,○,正しい。物件情報系の代表例で、35条のみの記載事項です。生活インフラの整備状況は買主・借主の判断に直結します。,業法
業法,代金の支払時期・支払方法は、定めがあるときに37条書面に記載する任意的記載事項である。,×,代金の額・支払時期・支払方法は必要的記載事項です（業法37条1項）。定めの有無にかかわらず必ず記載しなければなりません。,業法
業法,宅建業者が自ら売主で買主が一般人の場合、損害賠償額の予定・違約金の合計は、代金の額の3/10を超えることができない。,×,2/10（20%）以内です（業法38条）。超えた部分は無効となります。3/10ではなく2/10が正しい数字です。,業法
業法,クーリングオフは、申込みまたは契約をした場所が事務所等以外であれば、買主の属性を問わず無条件で発動する。,×,買主の自宅・勤務先で買主が自ら申し出て契約した場合は「事務所等」扱いとなり、クーリングオフは適用されません。,業法
業法,クーリングオフの書面告知を受けた日を含めて9日目に解除の書面を発信しても有効である。,×,告知日を含めて8日以内が期限です。発信主義ですが、9日目は期間徒過で無効となります。,業法
業法,クーリングオフの期間を書面告知から5日間とする特約は有効である。,×,買主に不利な特約は無効です（業法37条の2第4項）。8日間より短縮する特約は認められません。,業法
業法,手付金等の保全措置において、完成物件については指定保管機関による保管が認められる。,○,正しい。指定保管機関による保管は完成物件のみに認められます。未完成物件は銀行保証・保証保険の2種のみです。,業法
業法,宅建業者が自ら売主の場合、瑕疵（契約不適合）担保の通知期間を「引渡しから2年以上」とする特約は有効である。,○,正しい。民法より不利な特約は原則無効ですが、通知期間を引渡しから2年以上とする特約は例外的に有効です（業法40条）。,業法
業法,"営業保証金は、主たる事務所につき1,000万円、その他の事務所1か所につき500万円を供託する。",○,正しい（施行令2条の4）。金額は政令で定められた数字で、宅建試験の頻出ポイントです。,業法
業法,保証協会の社員は、社員となった日から1か月以内に、弁済業務保証金分担金を協会に納付すればよい。,×,2週間以内です。期限超過で社員資格を喪失します（業法64条の9第1項）。1か月ではなく2週間が正しい期限です。,業法
業法,保証協会の分担金は、主たる事務所60万円、その他の事務所1か所30万円で、協会が供託所へ供託する。,○,正しい（業法64条の9第2項・施行令7条）。営業保証金と比べると大幅に少額で、中小業者の負担軽減が目的です。,業法
業法,宅建業者間の取引により生じた債権でも、営業保証金から還付を受けることができる。,×,宅建業者間取引は還付対象外です（業法27条第1項かっこ書）。保護対象は一般消費者に限られます。,業法
業法,営業保証金の還付により不足が生じた場合、通知を受けた日から2週間以内に不足額を供託しなければならない。,○,正しい（業法28条第1項）。供託後2週間以内に免許権者に届出も必要です。,業法
業法,報酬の上限は、売買価額400万円超の部分につき、価額×3%+6万円（税抜）である。,○,正しい。告示の速算式で、依頼者の一方からの上限額です。400万円以下の部分は別の料率が適用されます。,業法
